uci_code,rider_name,nationality,date_of_birth
UAD,Felix Grossschartner,AUT,1993-12-23
UAD,Rune Herregodts,BEL,1998-07-27
UAD,Julius Johansen,DEN,1999-09-13
UAD,Vegard Stake Laengen,NOR,1989-02-07
UAD,Brandon McNulty,USA,1998-04-02
UAD,Juan Sebastian Molano,COL,1994-11-04
UAD,Antonio Morgado,POR,2004-01-28
UAD,Jhonatan Narvaez,ECU,1997-03-04
UAD,Domen Novak,SLO,1995-07-12
UAD,Ivo Oliveira,POR,1996-09-05
UAD,Rui Oliveira,POR,1996-09-05
UAD,Adria Pericas,ESP,2006-05-26
UAD,Tadej Pogacar,SLO,1998-09-21
UAD,Nils Politt,GER,1994-03-06
UAD,Pavel Sivakov,FRA,1997-07-11
UAD,Marc Soler,ESP,1993-11-22
UAD,Pablo Torres,ESP,2005-11-10
UAD,Kevin Vermaerke,USA,2000-10-16
UAD,Florian Vermeersch,BEL,1999-03-12
UAD,Jay Vine,AUS,1995-11-16
UAD,Tim Wellens,BEL,1991-05-10
UAD,Adam Yates,GBR,1992-08-07
UNX,Jonas Abrahamsen,NOR,1995-09-20
UNX,Carl-Frederik Bevort,DEN,2003-11-24
UNX,Erlend Blikra,NOR,1997-01-11
UNX,William Blume Levy,DEN,2001-01-14
UNX,Martin Urianstad Bugge,NOR,1999-02-06
UNX,Magnus Cort,DEN,1993-01-16
UNX,Simon Dalby,DEN,2003-01-29
UNX,Fredrik Dversnes,NOR,1997-03-20
UNX,Stian Fredheim,NOR,2003-03-23
UNX,Markus Hoelgaard,NOR,1994-10-04
UNX,Adne Holter,NOR,2000-07-08
UNX,Jonas Iversby Hvideberg,NOR,1999-02-09
UNX,Storm Ingebrigtsen,NOR,2005-02-17
UNX,Anders Halland Johannessen,NOR,1999-08-23
UNX,Tobias Halland Johannessen,NOR,1999-08-23
UNX,Anthon Charmig,DEN,1998-03-25
UNX,Andreas Kron,DEN,1998-06-01
UNX,Johannes Kulset,NOR,2004-04-14
UNX,Alexander Kamp,DEN,1993-12-14
UNX,Andreas Leknessund,NOR,1999-05-21
UNX,Sakarias Koller Loland,NOR,2001-09-20
UNX,Henrik Pedersen,DEN,2004-12-03
UNX,Erik Resell,NOR,1996-09-28
UNX,Anders Skaarseth,NOR,1995-05-07
UNX,Rasmus Tiller,NOR,1996-07-28
UNX,Martin Tjotta,NOR,2001-01-27
UNX,Soren Waerenskjold,NOR,2000-03-12
UNX,Sven Erik Bystrom,NOR,1992-01-21
UNX,Tobias Svarre,DEN,2004-07-19
UNX,Torstein Traeen,NOR,1995-07-16
XAT,Davide Ballerini,ITA,1994-09-21
XAT,Alberto Bettiol,ITA,1993-10-29
XAT,Clement Champoussin,FRA,1998-05-29
XAT,Nicola Conci,ITA,1997-01-05
XAT,Yevgeniy Fedorov,KAZ,2000-02-16
XAT,Lorenzo Fortunato,ITA,1996-05-09
XAT,Aaron Gate,NZL,1990-11-26
XAT,Lev Gonov,RUS,2000-01-06
XAT,Sergio Higuita,COL,1997-08-01
XAT,Florian Samuel Kajamini,ITA,2003-02-28
XAT,Max Kanter,GER,1997-10-22
XAT,Anton Kuzmin,KAZ,1996-11-20
XAT,Arjen Livyns,BEL,1994-09-01
XAT,Harold Martin Lopez,ECU,2000-12-03
XAT,Matteo Malucelli,ITA,1993-10-20
XAT,Henok Mulubrhan,ERI,1999-11-11
XAT,Cristian Rodriguez,ESP,1995-03-03
XAT,Alessandro Romele,ITA,2003-08-30
XAT,Christian Scaroni,ITA,1997-10-16
XAT,Marco Schrettl,AUT,2003-09-11
XAT,Thomas Silva,URY,2001-12-30
XAT,Su Haoyu,CHN,2000-10-26
XAT,Gleb Syritsa,RUS,2000-04-14
XAT,Harold Tejada,COL,1997-04-27
XAT,Mike Teunissen,NED,1992-08-25
XAT,Davide Toneatti,ITA,2001-04-09
XAT,Diego Ulissi,ITA,1989-07-15
XAT,Darren van Bekkum,NED,2002-03-20
XAT,Simone Velasco,ITA,1995-12-02
XAT,Nicolas Vinokurov,KAZ,2002-07-07
CRS,Julen Arriola-Bengoa,ESP,1971-02-16
CRS,Daniel Babor,CZE,1999-10-22
CRS,Abel Balderstone,ESP,2000-07-07
CRS,Fernando Barcelo,ESP,1996-01-06
CRS,Sebastian Berwick,AUS,1999-12-15
CRS,Joan Bou,ESP,1997-01-16
CRS,Jan Castellon,ESP,2003-07-31
CRS,Sergi Darder,ESP,2003-06-30
CRS,Alex Diaz,ESP,2001-07-28
CRS,Samuel Fernandez,ESP,2003-07-11
CRS,Abner Gonzalez,PUR,2000-10-09
CRS,Jaume Guardeno,ESP,2003-02-20
CRS,Javier Ibanez,ESP,2001-11-29
CRS,Calum Johnston,GBR,1998-11-01
CRS,Iuri Leitao,POR,1998-07-03
CRS,Joseba Lopez,ESP,2000-03-05
CRS,Alex Molenaar,NED,1999-07-13
CRS,Joel Nicolau,ESP,1997-12-23
CRS,Jakub Otruba,CZE,1998-01-30
CRS,Francisco Joel Penuela,VEN,2001-02-01
CRS,Eduard Prades,ESP,1987-08-09
CRS,Guillermo Thomas Silva,URU,2001-12-30
CRS,Gorka Sorarrain,ESP,1996-05-21
CRS,Tyler Stites,USA,1998-03-18
COF,Piet Allegaert,BEL,1995-01-20
COF,Stanislaw Aniolkowski,POL,1997-01-20
COF,Alex Aranburu,ESP,1995-09-19
COF,Emanuel Buchmann,GER,1992-11-18
COF,Simon Carr,GBR,1998-08-29
COF,Bryan Coquard,FRA,1992-04-25
COF,Aime De Gendt,BEL,1994-06-17
COF,Nicolas Debeaumarche,FRA,1998-02-24
COF,Valentin Ferron,FRA,1998-02-08
COF,Eddy Fine,FRA,1997-11-20
COF,Milan Fretin,BEL,2001-03-19
COF,Jesus Herrada,ESP,1990-07-26
COF,Ion Izagirre,ESP,1989-02-04
COF,Clement Izquierdo,FRA,2002-02-16
COF,Oliver Knight,GBR,2001-01-25
COF,Jonathan Lastra,ESP,1993-06-03
COF,Jan Maas,NED,1996-02-19
COF,Nolann Mahoudo,FRA,2002-11-17
COF,Sam Maisonobe,FRA,2003-09-08
COF,Jamie Meehan,IRL,2003-09-06
COF,Sylvain Moniquet,BEL,1998-01-14
COF,Stefano Oldani,ITA,1998-01-10
COF,Paul Ourselin,FRA,1994-04-13
COF,Anthony Perez,FRA,1991-04-22
COF,Alexis Renard,FRA,1999-06-01
COF,Ludovic Robeet,BEL,1994-05-22
COF,Sergio Samitier,ESP,1995-08-31
COF,Dylan Teuns,BEL,1992-03-01
COF,Benjamin Thomas,FRA,1995-09-12
COF,Hugo Toumire,FRA,2001-10-05
COF,Damien Touze,FRA,1996-07-07
PIN,Xabier Azparren,ESP,1999-02-25
PIN,Matteo Badilatti,SUI,1992-07-30
PIN,Sjoerd Bax,NED,1996-01-06
PIN,Sam Bennett,IRL,1990-10-16
PIN,Walter Calzoni,ITA,2001-08-08
PIN,Marcel Camprubi,ESP,2001-09-15
PIN,Fabio Christen,SUI,2002-06-29
PIN,David de la Cruz,ESP,1989-05-06
